coin,target,toplam_veri,train_sayisi,test_sayisi,mae,mse,r2,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,r2_gap
SHIB,close,1677,1173,504,4.843096284842452e-07,7.756334042631278e-13,0.9676757321612947,6.884553845156703e-07,2.7678558375416534e-12,0.9748325075296639,4.843096284842452e-07,7.756334042631278e-13,0.9676757321612947,0.007156775368369228
TFUEL,close,2495,1746,749,0.0018100362362410162,1.0447220791608117e-05,0.9838287347954496,0.004545241437107489,0.00013568299800071693,0.9908753036970194,0.0018100362362410162,1.0447220791608117e-05,0.9838287347954496,0.007046568901569739
THETA,close,2916,2041,875,0.04635955547456376,0.006739862596090962,0.9853358771143348,0.08908249615073677,0.05853171046059679,0.9918069224189013,0.04635955547456376,0.006739862596090962,0.9853358771143348,0.006471045304566547
IMX,close,1522,1065,457,0.03257155916747514,0.0027983264823163998,0.9804416552342091,0.07488301341511978,0.017616061203539663,0.9867704402358314,0.03257155916747514,0.0027983264823163998,0.9804416552342091,0.006328785001622261
GRT,close,1863,1304,559,0.0049502326937111,6.073972022240647e-05,0.9818972275191288,0.02328062539840621,0.002658813608998961,0.9874032479767187,0.0049502326937111,6.073972022240647e-05,0.9818972275191288,0.005506020457589966
NEAR,close,1927,1348,579,0.12694482300865795,0.037040765549181266,0.9819245873837946,0.2452076023478473,0.1911496536232487,0.9869020810990694,0.12694482300865795,0.037040765549181266,0.9819245873837946,0.004977493715274783
DOGE,close,3494,2445,1049,0.005337105720833273,8.610201502315936e-05,0.9841137021871939,0.0027167654080146124,8.86693072890507e-05,0.9889280352572299,0.005337105720833273,8.610201502315936e-05,0.9841137021871939,0.004814333070036092
NEO,close,3094,2165,929,0.3429114405445177,0.31534452429415294,0.9809938124118445,1.3544064324808354,9.578085445818203,0.9856948359925767,0.3429114405445177,0.31534452429415294,0.9809938124118445,0.004701023580732211
XDC,close,1962,1373,589,0.0015754639263240245,8.518230451397073e-06,0.9827975431574513,0.0018865023456647242,1.3064504962617546e-05,0.9862139748897066,0.0015754639263240245,8.518230451397073e-06,0.9827975431574513,0.003416431732255365
XMR,close,4013,2809,1204,5.316974128983574,105.13432241373128,0.9883894516333931,4.29500877783067,77.65273602379406,0.9917081946302138,5.316974128983574,105.13432241373128,0.9883894516333931,0.003318742996820667
PAXG,close,1416,991,425,33.1917042116511,3193.366085543183,0.9936688843543179,10.910801353724139,263.5340417816242,0.9966030336024762,33.1917042116511,3193.366085543183,0.9936688843543179,0.0029341492481582687
BNB,close,3060,2142,918,11.954034238391356,381.21842002732774,0.9931824897908451,5.03733634132438,132.93893800489604,0.9958487625375899,11.954034238391356,381.21842002732774,0.9931824897908451,0.002666272746744802
XAUt,close,1349,944,405,33.904494443741434,3324.485120490084,0.9928248821830482,12.818600071166317,531.1687531827105,0.9942191737326822,33.904494443741434,3324.485120490084,0.9928248821830482,0.001394291549633997
TWT,close,1351,945,406,0.026354343925760793,0.0017333071867466595,0.9640606631512304,0.034119818770838986,0.003333892683675844,0.9649634315564166,0.026354343925760793,0.0017333071867466595,0.9640606631512304,0.0009027684051862161
ROSE,close,1879,1315,564,0.0019872911661596646,1.1478985758061301e-05,0.9824413336055977,0.005980823982505485,0.00012969086633057953,0.9831808104528654,0.0019872911661596646,1.1478985758061301e-05,0.9824413336055977,0.0007394768472677171
CHZ,close,2331,1631,700,0.0026140278816537224,1.8585586851263415e-05,0.9843933116284135,0.006825804780420136,0.0002785220416518758,0.9850457500510741,0.0026140278816537224,1.8585586851263415e-05,0.9843933116284135,0.0006524384226606061
POL,close,2320,1624,696,0.017612589879709234,0.00075793661781789,0.989815674998324,0.02945353570466982,0.003943263620552277,0.9903838904898784,0.017612589879709234,0.00075793661781789,0.989815674998324,0.0005682154915543913
BTC,close,5670,3968,1702,1026.626368147042,2395067.9419724876,0.997311754128298,146.3992368186976,218008.57729339655,0.9977117023363842,1026.626368147042,2395067.9419724876,0.997311754128298,0.00039994820808619824
BCH,close,3098,2168,930,12.061081652636807,330.5656107939556,0.9803883466127536,23.05523187303694,3358.1429212206904,0.9806554342139858,12.061081652636807,330.5656107939556,0.9803883466127536,0.00026708760123217434
ATOM,close,2460,1722,738,0.1736736689284516,0.07640435251622428,0.989639758361234,0.5203606421915307,0.9340238541855099,0.9889814917064293,0.1736736689284516,0.07640435251622428,0.989639758361234,-0.0006582666548046179
LDO,close,1356,949,407,0.04534689906049551,0.004092324622477829,0.968087522324966,0.08698861877003201,0.015075641721185452,0.9659553346675664,0.04534689906049551,0.004092324622477829,0.968087522324966,-0.0021321876573995313
XLM,close,3294,2305,989,0.0060661721538924716,0.00015012400058929423,0.9874946344928985,0.007536915549287584,0.00027488675435842226,0.985197906293943,0.0060661721538924716,0.00015012400058929423,0.9874946344928985,-0.0022967281989555444
QTUM,close,2982,2087,895,0.09464940462025001,0.022475843851683545,0.9704778342729512,0.41104511045147274,2.2494159740229054,0.9681278859700875,0.09464940462025001,0.022475843851683545,0.9704778342729512,-0.0023499483028637247
RUNE,close,2229,1560,669,0.11916133349076506,0.05987585446557467,0.986717660922001,0.23630171900018637,0.24214069371157482,0.983531143699835,0.11916133349076506,0.05987585446557467,0.986717660922001,-0.0031865172221660076
AR,close,2048,1433,615,0.5698187454806267,0.9776760250277647,0.990356301067914,1.0018289048803415,3.8129327406503815,0.9858964044933376,0.5698187454806267,0.9776760250277647,0.990356301067914,-0.00445989657457635
XRP,close,4018,2812,1206,0.03536102726038346,0.005358550434292416,0.9935628306681313,0.016802788654098306,0.0016698630641491363,0.9877804108790637,0.03536102726038346,0.005358550434292416,0.9935628306681313,-0.005782419789067683
ENS,close,1348,943,405,0.6479369326839147,0.9130188938491955,0.9797540906979834,0.6111572984030884,1.0329599270288292,0.9730719713798959,0.6479369326839147,0.9130188938491955,0.9797540906979834,-0.006682119318087487
